customer_id,age,recency_days,transaction_frequency,monetary_value_kes,preferred_channel,active_microloans
CUST-00052,30,5,20,10515.18,USSD / Mobile Money,0
CUST-00053,26,0,52,27706.9,ATM,2
CUST-00054,42,32,15,9100.73,USSD / Mobile Money,3
CUST-00055,47,3,5,3069.08,USSD / Mobile Money,4
CUST-00056,46,39,6,5753.76,ATM,2
CUST-00057,24,18,13,29234.84,Mobile App,1
CUST-00058,31,21,6,6336.0,Mobile App,0
CUST-00059,38,3,4,6917.2,USSD / Mobile Money,4
CUST-00060,46,4,40,20611.65,Mobile App,2
CUST-00061,29,11,7,5953.35,Mobile App,1
CUST-00062,32,2,13,10553.97,Branch,3
CUST-00063,21,5,16,29239.13,USSD / Mobile Money,1
CUST-00064,20,5,6,3656.96,Mobile App,2
CUST-00065,44,2,51,29594.86,Mobile App,1
CUST-00066,51,3,3,42866.52,Mobile App,0
CUST-00067,34,23,15,11656.28,USSD / Mobile Money,0
CUST-00068,47,2,15,7839.22,Mobile App,0
CUST-00069,39,0,11,60702.51,Branch,4
CUST-00070,27,14,3,25900.17,USSD / Mobile Money,3
CUST-00071,39,55,29,44354.65,Mobile App,1
CUST-00072,53,6,25,13092.48,Mobile App,1
CUST-00073,34,1,6,81329.82,USSD / Mobile Money,2
CUST-00074,53,12,24,14540.42,Mobile App,2
CUST-00075,18,35,17,12273.81,USSD / Mobile Money,1
CUST-00076,44,22,3,4323.79,Branch,1
CUST-00077,36,14,5,36037.04,Mobile App,1
CUST-00078,31,5,38,25187.6,Mobile App,1
CUST-00079,36,11,16,24690.78,USSD / Mobile Money,2
CUST-00080,18,1,6,12080.2,Mobile App,0
CUST-00081,32,17,5,9526.45,Mobile App,5
CUST-00082,39,19,7,5458.28,Mobile App,2
CUST-00083,52,50,7,126287.55,Branch,2
CUST-00084,28,4,5,3402.27,Branch,1
CUST-00085,25,0,2,16038.68,Mobile App,0
CUST-00086,28,11,38,33256.74,USSD / Mobile Money,0
CUST-00087,45,18,32,61776.88,Mobile App,2
CUST-00088,38,23,3,66499.51,USSD / Mobile Money,0
CUST-00089,28,3,13,13094.01,Mobile App,0
CUST-00090,41,4,4,19954.42,Mobile App,1
CUST-00091,36,10,9,118883.32,USSD / Mobile Money,1
CUST-00092,46,6,8,11348.38,Mobile App,1
CUST-00093,26,29,7,5136.56,Mobile App,2
CUST-00094,31,9,90,49551.89,USSD / Mobile Money,1
CUST-00095,30,24,7,4644.85,USSD / Mobile Money,0
CUST-00096,18,13,5,16653.61,USSD / Mobile Money,0
CUST-00097,38,22,5,42501.98,Branch,3
CUST-00098,38,6,34,23757.7,USSD / Mobile Money,0
CUST-00099,35,26,2,1712.34,Mobile App,4
CUST-00100,32,4,5,40014.25,Mobile App,2
CUST-00101,18,11,51,26064.28,Mobile App,1
CUST-00102,29,3,15,8297.17,Mobile App,0
CUST-00103,30,9,14,13201.16,USSD / Mobile Money,1
CUST-00104,25,5,102,62821.53,Mobile App,2
CUST-00105,33,4,15,22765.81,Mobile App,0
CUST-00106,39,51,6,10337.77,Mobile App,0
CUST-00107,57,2,9,118057.62,Mobile App,0
CUST-00108,37,23,3,10435.19,USSD / Mobile Money,5
CUST-00109,38,62,42,59253.95,Mobile App,2
CUST-00110,34,0,21,36881.86,Mobile App,1
CUST-00111,18,18,37,19665.25,ATM,2
CUST-00112,34,4,40,26281.75,USSD / Mobile Money,3
CUST-00113,35,0,8,199825.8,USSD / Mobile Money,4
CUST-00114,64,7,4,5802.73,USSD / Mobile Money,0
CUST-00115,32,41,11,8445.6,USSD / Mobile Money,1
CUST-00116,38,0,5,12965.75,Mobile App,0
CUST-00117,34,13,14,11012.7,Mobile App,1
CUST-00118,20,10,37,20963.76,USSD / Mobile Money,1
CUST-00119,48,30,10,8924.82,Mobile App,2
CUST-00120,44,1,14,76425.85,Mobile App,1
CUST-00121,44,17,11,12101.63,Mobile App,2
CUST-00122,24,17,27,14605.32,Mobile App,2
CUST-00123,51,16,6,3839.14,Branch,2
CUST-00124,18,42,1,222450.0,Mobile App,3
CUST-00125,42,25,19,15296.44,Mobile App,2
CUST-00126,61,0,32,31550.81,USSD / Mobile Money,0
CUST-00127,23,9,19,12047.67,USSD / Mobile Money,0
CUST-00128,28,7,6,16114.57,USSD / Mobile Money,0
CUST-00129,36,5,3,73830.02,Mobile App,0
CUST-00130,28,9,19,12546.06,USSD / Mobile Money,2
CUST-00131,18,7,14,23121.03,USSD / Mobile Money,2
CUST-00132,35,8,10,5983.76,Mobile App,1
CUST-00133,22,58,75,205933.99,Mobile App,2
CUST-00134,40,1,4,14122.32,ATM,0
CUST-00135,23,38,71,39862.54,Mobile App,4
CUST-00136,53,9,12,11183.26,Mobile App,1
CUST-00137,25,14,1,4270.42,Mobile App,2
CUST-00138,31,26,10,9070.99,Mobile App,1
CUST-00139,44,6,31,15706.18,Mobile App,2
CUST-00140,20,8,8,10995.7,Mobile App,2
CUST-00141,37,7,2,7569.43,Mobile App,1
CUST-00142,50,7,10,21864.94,Mobile App,3
CUST-00143,18,38,5,6197.03,Mobile App,1
CUST-00144,37,26,19,12048.97,USSD / Mobile Money,1
CUST-00145,38,1,26,21009.13,USSD / Mobile Money,2
CUST-00146,44,1,4,2721.58,Mobile App,0
CUST-00147,20,8,6,13048.06,ATM,1
CUST-00148,19,1,25,12996.34,USSD / Mobile Money,0
CUST-00149,41,14,5,46030.97,USSD / Mobile Money,2
CUST-00150,38,2,4,24615.82,Mobile App,2
CUST-00151,38,11,3,3519.73,USSD / Mobile Money,4
CUST-00152,39,0,17,30344.56,Branch,4
CUST-00153,26,5,16,17578.45,Mobile App,1
CUST-00154,37,16,6,4783.77,USSD / Mobile Money,3
CUST-00155,38,9,12,6389.82,USSD / Mobile Money,1
CUST-00156,26,57,56,41025.36,Mobile App,1
CUST-00157,57,31,4,4461.63,USSD / Mobile Money,2
CUST-00158,40,6,1,42375.42,Mobile App,2
CUST-00159,20,0,19,17775.47,Mobile App,4
CUST-00160,42,28,10,7837.35,Mobile App,1
CUST-00161,23,36,5,122681.47,USSD / Mobile Money,2
CUST-00162,44,25,23,30738.52,USSD / Mobile Money,0
CUST-00163,48,2,28,14033.7,Branch,1
CUST-00164,25,90,1,4406.56,USSD / Mobile Money,2
CUST-00165,46,4,6,4016.24,Mobile App,0
CUST-00166,39,19,123,63941.34,Mobile App,3
CUST-00167,44,35,21,17021.77,Branch,2
CUST-00168,57,4,23,25281.37,USSD / Mobile Money,0
CUST-00169,32,35,39,31492.64,USSD / Mobile Money,1
CUST-00170,25,5,12,46815.19,Mobile App,3
CUST-00171,24,56,27,34555.09,USSD / Mobile Money,2
CUST-00172,25,4,24,31189.54,Mobile App,2
CUST-00173,34,46,20,20962.53,Mobile App,2
CUST-00174,39,0,8,59837.35,USSD / Mobile Money,2
CUST-00175,38,18,14,12042.14,USSD / Mobile Money,2
CUST-00176,44,11,6,8242.45,Mobile App,1
CUST-00177,35,9,12,6464.82,USSD / Mobile Money,0
CUST-00178,52,3,3,41007.51,Mobile App,3
CUST-00179,31,18,5,9720.01,Mobile App,1
CUST-00180,67,3,9,664772.93,Branch,0
CUST-00181,42,12,4,6410.31,Mobile App,2
CUST-00182,24,4,7,12754.52,USSD / Mobile Money,2
CUST-00183,22,46,10,23393.59,USSD / Mobile Money,2
CUST-00184,40,0,18,10551.77,Mobile App,1
CUST-00185,32,3,31,29374.69,USSD / Mobile Money,4
CUST-00186,43,4,7,12035.53,Mobile App,2
CUST-00187,40,8,46,28138.25,Mobile App,2
CUST-00188,34,3,31,62547.17,USSD / Mobile Money,2
CUST-00189,24,10,20,12088.87,Mobile App,2
CUST-00190,18,30,14,19238.64,Mobile App,1
CUST-00191,29,18,16,79825.61,USSD / Mobile Money,2
CUST-00192,45,13,39,22307.55,USSD / Mobile Money,2
CUST-00193,37,1,41,25690.94,USSD / Mobile Money,1
CUST-00194,20,17,46,296199.3,USSD / Mobile Money,1
CUST-00195,37,2,12,22507.77,USSD / Mobile Money,2
CUST-00196,39,23,21,14292.21,USSD / Mobile Money,0
CUST-00197,24,4,46,50009.32,Mobile App,2
CUST-00198,36,8,6,6455.97,USSD / Mobile Money,1
CUST-00199,35,6,8,4774.82,Mobile App,0
CUST-00200,21,29,12,69484.17,ATM,1
CUST-00201,39,2,29,16049.07,Mobile App,2
CUST-00202,41,12,30,335478.01,ATM,2
CUST-00203,47,2,9,8389.37,USSD / Mobile Money,1
CUST-00204,47,18,2,199768.68,USSD / Mobile Money,2
CUST-00205,18,35,15,8540.02,USSD / Mobile Money,2
CUST-00206,23,8,4,39731.12,Mobile App,1
CUST-00207,41,10,2,18147.19,USSD / Mobile Money,2
CUST-00208,41,39,3,29970.37,Mobile App,0
CUST-00209,41,11,16,42614.71,Branch,1
CUST-00210,80,10,47,27340.59,USSD / Mobile Money,1
CUST-00211,41,12,12,7137.67,USSD / Mobile Money,2
CUST-00212,48,17,15,15007.24,Mobile App,2
CUST-00213,46,1,39,30822.48,Mobile App,2
CUST-00214,42,25,2,4992.74,USSD / Mobile Money,2
CUST-00215,31,8,20,22287.42,Mobile App,1
CUST-00216,44,1,12,19285.63,Branch,2
CUST-00217,25,23,21,12569.29,USSD / Mobile Money,3
CUST-00218,32,7,7,18153.83,Mobile App,2
CUST-00219,29,1,5,7927.22,USSD / Mobile Money,2
CUST-00220,35,15,14,9835.66,USSD / Mobile Money,3
CUST-00221,62,31,63,57898.51,USSD / Mobile Money,1
CUST-00222,18,32,28,16526.31,USSD / Mobile Money,1
CUST-00223,43,47,7,7584.68,Mobile App,0
CUST-00224,18,30,3,10527.91,Mobile App,1
CUST-00225,29,0,2,64669.91,USSD / Mobile Money,3
CUST-00226,48,7,45,33320.27,Mobile App,1
CUST-00227,35,25,4,19897.79,USSD / Mobile Money,0
CUST-00228,22,6,8,9185.06,USSD / Mobile Money,0
CUST-00229,26,13,45,29703.09,Branch,0
CUST-00230,43,13,2,8530.25,ATM,2
CUST-00231,26,6,54,39581.21,USSD / Mobile Money,3
CUST-00232,37,35,9,9698.1,Mobile App,0
CUST-00233,35,10,3,61975.88,USSD / Mobile Money,0
CUST-00234,27,9,9,9129.72,Mobile App,1
CUST-00235,60,89,5,3125.87,Mobile App,1
CUST-00236,42,10,18,504932.4,USSD / Mobile Money,1
CUST-00237,18,2,6,7958.94,USSD / Mobile Money,1
CUST-00238,37,10,1,58590.34,Mobile App,4
CUST-00239,27,25,9,71148.4,Mobile App,1
CUST-00240,45,22,3,34950.48,USSD / Mobile Money,4
CUST-00241,25,23,14,13020.7,Branch,1
CUST-00242,33,18,3,13956.87,Mobile App,1
CUST-00243,41,4,7,4697.79,Mobile App,2
CUST-00244,45,29,14,167367.23,Branch,2
CUST-00245,20,33,9,6758.13,Mobile App,3
CUST-00246,30,3,15,13036.67,USSD / Mobile Money,1
CUST-00247,29,2,24,21400.14,USSD / Mobile Money,1
CUST-00248,27,55,3,8396.99,Mobile App,2
CUST-00249,56,30,11,8525.07,USSD / Mobile Money,2
CUST-00250,39,33,1,66111.65,Branch,5
CUST-00251,19,32,15,41205.59,Mobile App,2
CUST-00252,46,11,9,17635.46,Mobile App,0
CUST-00253,60,15,4,6450.05,USSD / Mobile Money,2
CUST-00254,47,11,16,47991.16,Mobile App,3
CUST-00255,18,0,39,23537.16,USSD / Mobile Money,0
CUST-00256,29,20,7,88941.55,Branch,0
CUST-00257,50,10,4,11574.24,Branch,3
CUST-00258,26,15,14,58260.32,Mobile App,1
CUST-00259,40,10,3,8331.29,Mobile App,0
CUST-00260,44,10,6,12020.9,Mobile App,1
CUST-00261,23,2,41,71426.14,Branch,1
CUST-00262,34,4,12,223703.15,Mobile App,0
CUST-00263,18,2,1,84666.33,Mobile App,1
CUST-00264,22,3,2,31203.16,USSD / Mobile Money,0
CUST-00265,31,54,14,26612.55,USSD / Mobile Money,1
CUST-00266,20,2,28,17787.94,Mobile App,3
CUST-00267,54,4,2,13617.56,Mobile App,2
CUST-00268,18,13,19,11559.93,USSD / Mobile Money,2
CUST-00269,29,14,46,37238.05,USSD / Mobile Money,1
CUST-00270,36,2,80,55678.98,USSD / Mobile Money,1
CUST-00271,52,23,16,8427.83,Mobile App,1
CUST-00272,18,23,20,18587.89,Mobile App,2
CUST-00273,48,4,1,15597.92,USSD / Mobile Money,1
CUST-00274,35,5,99,56646.91,Branch,2
CUST-00275,23,41,6,16864.31,Mobile App,1
CUST-00276,40,26,4,3082.92,Mobile App,1
CUST-00277,37,17,9,7030.58,USSD / Mobile Money,2
CUST-00278,27,1,55,65769.45,USSD / Mobile Money,0
CUST-00279,35,8,110,63110.04,Mobile App,1
CUST-00280,30,12,13,19991.55,USSD / Mobile Money,2
CUST-00281,36,3,33,20069.63,ATM,3
CUST-00282,42,8,12,14343.52,USSD / Mobile Money,1
CUST-00283,54,13,4,2256.46,Mobile App,2
CUST-00284,20,5,53,55325.56,USSD / Mobile Money,0
CUST-00285,60,22,6,125015.0,Mobile App,2
CUST-00286,18,27,56,29640.04,Mobile App,1
CUST-00287,33,5,44,23977.33,USSD / Mobile Money,3
CUST-00288,42,27,22,26698.49,USSD / Mobile Money,2
CUST-00289,38,1,75,111425.93,Branch,0
CUST-00290,27,27,113,64577.63,Mobile App,2
CUST-00291,32,2,10,6281.8,Mobile App,1
CUST-00292,29,1,5,8425.82,Branch,5
CUST-00293,27,15,1,2228.66,Mobile App,0
CUST-00294,45,9,114,59971.23,Mobile App,1
CUST-00295,39,35,7,8635.53,USSD / Mobile Money,3
CUST-00296,26,6,37,20510.25,ATM,3
CUST-00297,45,5,5,5022.84,USSD / Mobile Money,2
CUST-00298,38,10,56,37061.6,Mobile App,1
CUST-00299,44,9,6,14187.52,USSD / Mobile Money,0
CUST-00300,42,6,3,2457.22,ATM,0
CUST-00301,25,17,9,19184.86,USSD / Mobile Money,0
CUST-00302,28,21,7,8069.23,Mobile App,1
CUST-00303,43,28,22,34870.35,USSD / Mobile Money,1
CUST-00304,42,54,11,31627.57,USSD / Mobile Money,4
CUST-00305,34,4,22,14580.25,USSD / Mobile Money,2
CUST-00306,36,18,9,24857.84,USSD / Mobile Money,1
CUST-00307,50,7,6,5308.99,Mobile App,3
CUST-00308,27,16,6,62020.68,USSD / Mobile Money,2
CUST-00309,41,9,94,49443.77,USSD / Mobile Money,1
CUST-00310,32,76,15,21254.54,Mobile App,0
CUST-00311,32,19,1,6615.53,Mobile App,0
CUST-00312,48,45,7,5262.8,Mobile App,2
CUST-00313,44,27,13,37800.01,USSD / Mobile Money,0
CUST-00314,44,34,77,41725.37,USSD / Mobile Money,1
CUST-00315,50,25,34,17632.63,USSD / Mobile Money,3
CUST-00316,35,9,4,2107.45,USSD / Mobile Money,2
CUST-00317,43,4,136,70180.77,USSD / Mobile Money,1
CUST-00318,31,6,11,69322.6,Branch,1
CUST-00319,38,0,42,74455.65,Mobile App,5
CUST-00320,33,11,3,4257.56,USSD / Mobile Money,1
CUST-00321,36,10,1,5120.77,USSD / Mobile Money,2
CUST-00322,42,11,2,5034.47,Mobile App,2
CUST-00323,25,54,1,1596.47,Mobile App,2
CUST-00324,60,36,100,51952.28,Mobile App,3
CUST-00325,22,2,15,42803.04,USSD / Mobile Money,0
CUST-00326,20,6,4,19254.56,USSD / Mobile Money,2
CUST-00327,48,8,19,21705.39,USSD / Mobile Money,4
CUST-00328,44,6,14,8093.65,Mobile App,1
CUST-00329,42,24,22,20424.38,Mobile App,3
CUST-00330,42,11,40,20255.76,Branch,1
CUST-00331,34,12,9,33187.13,Mobile App,0
CUST-00332,24,28,5,14442.54,USSD / Mobile Money,0
CUST-00333,35,24,27,14577.23,Mobile App,2
CUST-00334,26,2,27,105049.8,Mobile App,2
CUST-00335,46,18,13,7047.71,Branch,2
CUST-00336,33,8,107,71452.04,ATM,0
CUST-00337,25,5,7,22134.27,Mobile App,3
CUST-00338,31,0,4,3262.05,Mobile App,5
CUST-00339,39,10,18,16655.84,Mobile App,0
CUST-00340,28,6,6,3695.59,Mobile App,4
CUST-00341,25,4,19,9613.35,USSD / Mobile Money,2
CUST-00342,37,17,5,4133.02,USSD / Mobile Money,1
CUST-00343,37,22,8,7213.33,USSD / Mobile Money,4
CUST-00344,28,4,80,61298.34,USSD / Mobile Money,3
CUST-00345,29,0,8,12965.26,Mobile App,3
CUST-00346,37,28,5,11823.73,USSD / Mobile Money,3
CUST-00347,18,0,39,21269.35,USSD / Mobile Money,2
CUST-00348,18,41,4,5659.14,USSD / Mobile Money,3
CUST-00349,26,14,6,5008.43,Branch,2
CUST-00350,32,5,21,11790.18,USSD / Mobile Money,0
CUST-00351,38,4,31,18825.75,USSD / Mobile Money,0
CUST-00352,52,0,41,29561.31,Branch,1
CUST-00353,45,4,5,5932.49,USSD / Mobile Money,0
CUST-00354,33,2,22,15987.78,USSD / Mobile Money,2
CUST-00355,34,14,7,26479.83,Mobile App,1
CUST-00356,22,2,6,6823.3,Branch,0
CUST-00357,34,11,40,21095.59,Mobile App,0
CUST-00358,31,13,7,22367.2,USSD / Mobile Money,4
CUST-00359,38,5,16,20073.58,USSD / Mobile Money,2
CUST-00360,25,0,14,20266.39,USSD / Mobile Money,2
CUST-00361,41,0,4,22718.0,USSD / Mobile Money,1
CUST-00362,53,0,32,32074.06,USSD / Mobile Money,1
CUST-00363,33,20,21,18959.9,Mobile App,1
CUST-00364,39,5,1,293280.66,Branch,0
CUST-00365,43,23,16,9179.15,USSD / Mobile Money,0
CUST-00366,30,8,5,5862.28,Branch,1
CUST-00367,37,9,36,52578.99,Mobile App,1
CUST-00368,35,10,2,11035.45,USSD / Mobile Money,0
CUST-00369,36,18,8,29257.65,USSD / Mobile Money,3
CUST-00370,25,4,17,18952.9,Mobile App,1
CUST-00371,35,1,12,69645.56,USSD / Mobile Money,0
CUST-00372,40,12,26,14787.79,Mobile App,4
CUST-00373,52,5,2,61699.45,USSD / Mobile Money,1
CUST-00374,46,8,63,78433.86,USSD / Mobile Money,1
CUST-00375,60,15,20,11318.92,USSD / Mobile Money,1
CUST-00376,25,10,47,44368.54,USSD / Mobile Money,1
CUST-00377,45,14,29,22096.48,Mobile App,4
CUST-00378,37,11,12,9262.1,USSD / Mobile Money,0
CUST-00379,61,20,3,1976.79,Mobile App,2
CUST-00380,25,18,6,4778.95,USSD / Mobile Money,2
CUST-00381,24,11,59,52939.27,Mobile App,2
CUST-00382,27,17,48,51467.59,USSD / Mobile Money,1
CUST-00383,18,31,6,8907.24,USSD / Mobile Money,3
CUST-00384,28,8,1,28097.42,USSD / Mobile Money,3
CUST-00385,25,7,9,37952.78,USSD / Mobile Money,2
CUST-00386,36,21,9,14718.55,Mobile App,1
CUST-00387,39,13,9,7242.16,USSD / Mobile Money,3
CUST-00388,57,1,20,25702.59,USSD / Mobile Money,2
CUST-00389,46,33,29,31322.58,Mobile App,2
CUST-00390,28,0,32,38268.24,Mobile App,3
CUST-00391,24,20,19,39176.33,USSD / Mobile Money,0
CUST-00392,40,21,2,2050.22,Mobile App,1
CUST-00393,19,45,8,7771.04,Mobile App,0
CUST-00394,56,0,122,61469.69,Mobile App,3
CUST-00395,49,13,17,33347.04,Mobile App,2
CUST-00396,29,8,17,14393.07,Mobile App,0
CUST-00397,18,6,17,23963.24,USSD / Mobile Money,2
CUST-00398,51,1,18,9885.79,Mobile App,0
CUST-00399,33,12,1,66768.59,Mobile App,2
CUST-00400,49,9,9,5850.85,Mobile App,2
CUST-00401,18,1,11,31396.03,USSD / Mobile Money,1
CUST-00402,27,14,43,31171.37,Branch,1
CUST-00403,35,20,12,12098.73,USSD / Mobile Money,1
CUST-00404,35,21,2,6403.27,USSD / Mobile Money,1
CUST-00405,29,35,18,12111.64,USSD / Mobile Money,0
CUST-00406,42,7,5,59045.12,Mobile App,1
CUST-00407,22,45,3,9757.85,Mobile App,1
CUST-00408,33,30,5,3707.33,Mobile App,1
CUST-00409,36,5,20,14555.36,Mobile App,1
CUST-00410,41,2,42,30823.26,Mobile App,1
CUST-00411,43,8,19,40654.31,USSD / Mobile Money,0
CUST-00412,21,7,22,14271.72,Mobile App,0
CUST-00413,18,12,19,13116.76,Branch,1
CUST-00414,50,13,13,14892.96,Branch,0
CUST-00415,38,20,24,42035.56,ATM,0
CUST-00416,26,10,1,1539.89,Mobile App,0
CUST-00417,53,1,13,23792.57,Branch,0
CUST-00418,36,29,4,6039.62,USSD / Mobile Money,1
CUST-00419,49,5,38,23980.83,Branch,1
CUST-00420,35,53,10,168139.94,USSD / Mobile Money,2
CUST-00421,59,1,12,12034.79,USSD / Mobile Money,0
CUST-00422,56,47,2,26135.6,Mobile App,0
CUST-00423,32,1,33,40322.14,Mobile App,3
CUST-00424,46,3,22,12380.17,Mobile App,0
CUST-00425,42,0,21,11008.73,Branch,3
CUST-00426,51,18,5,30263.38,Mobile App,2
CUST-00427,23,28,5,4095.08,Mobile App,4
CUST-00428,43,8,15,8167.62,Branch,1
CUST-00429,47,39,6,40768.98,Mobile App,3
CUST-00430,18,13,18,10756.12,Branch,1
CUST-00431,20,14,1,3043.32,USSD / Mobile Money,1
CUST-00432,18,28,7,160117.18,Mobile App,1
CUST-00433,31,5,73,37172.09,Mobile App,3
CUST-00434,43,6,18,10230.99,USSD / Mobile Money,0
CUST-00435,53,35,14,11066.15,ATM,2
CUST-00436,35,34,88,49651.15,Branch,3
CUST-00437,54,56,1,2620.45,Mobile App,1
CUST-00438,18,34,5,3925.13,Mobile App,0
CUST-00439,18,2,8,82041.15,Mobile App,3
CUST-00440,34,26,28,26021.83,USSD / Mobile Money,1
CUST-00441,39,7,29,33991.88,Mobile App,3
CUST-00442,34,70,5,9095.63,Mobile App,4
CUST-00443,18,9,33,29008.73,USSD / Mobile Money,2
CUST-00444,33,12,8,36838.36,USSD / Mobile Money,3
CUST-00445,19,11,40,21818.11,Mobile App,1
CUST-00446,43,5,4,14055.23,USSD / Mobile Money,0
CUST-00447,39,1,10,28018.73,USSD / Mobile Money,1
CUST-00448,23,33,7,85723.47,USSD / Mobile Money,2
CUST-00449,28,24,35,168017.78,USSD / Mobile Money,0
CUST-00450,22,2,7,12498.29,USSD / Mobile Money,0
CUST-00451,34,22,11,50210.27,USSD / Mobile Money,3
CUST-00452,46,14,20,10147.64,Branch,0
CUST-00453,23,7,21,93651.9,USSD / Mobile Money,2
CUST-00454,41,4,29,17227.59,USSD / Mobile Money,1
CUST-00455,28,29,15,13144.03,USSD / Mobile Money,0
CUST-00456,25,18,8,19703.78,USSD / Mobile Money,0
CUST-00457,33,11,8,10437.12,Mobile App,2
CUST-00458,22,14,12,16879.98,Mobile App,5
CUST-00459,28,1,15,95187.92,USSD / Mobile Money,2
CUST-00460,20,9,10,9553.58,Mobile App,2
CUST-00461,58,3,12,7587.02,Mobile App,2
CUST-00462,35,3,2,124031.51,USSD / Mobile Money,2
CUST-00463,26,16,23,29356.92,Mobile App,3
CUST-00464,37,36,14,151836.16,USSD / Mobile Money,1
CUST-00465,33,7,33,46097.49,USSD / Mobile Money,5
CUST-00466,32,3,12,7112.77,Mobile App,1
CUST-00467,42,15,2,22334.42,Mobile App,1
CUST-00468,44,30,8,5852.1,Mobile App,0
CUST-00469,28,20,9,12693.92,Mobile App,0
CUST-00470,28,30,25,19733.14,Mobile App,0
CUST-00471,31,11,1,1215.87,Mobile App,5
CUST-00472,18,20,12,8394.15,USSD / Mobile Money,1
CUST-00473,18,2,20,231412.1,USSD / Mobile Money,0
CUST-00474,51,6,6,14586.15,USSD / Mobile Money,1
CUST-00475,54,7,13,12726.73,USSD / Mobile Money,1
CUST-00476,32,10,6,125925.69,Mobile App,1
CUST-00477,41,39,5,6972.25,Mobile App,0
CUST-00478,38,31,8,11064.73,Mobile App,1
CUST-00479,71,2,5,38317.94,Branch,0
CUST-00480,48,2,24,16442.16,Branch,2
CUST-00481,33,6,5,5144.45,Mobile App,2
CUST-00482,23,5,4,2275.71,USSD / Mobile Money,1
CUST-00483,18,14,71,37488.73,ATM,1
CUST-00484,37,34,31,17460.51,USSD / Mobile Money,1
CUST-00485,25,49,1,10778.92,USSD / Mobile Money,1
CUST-00486,18,15,5,5743.19,Mobile App,3
CUST-00487,27,27,15,213788.0,Mobile App,0
CUST-00488,22,11,16,9658.31,USSD / Mobile Money,0
CUST-00489,55,3,2,67235.38,USSD / Mobile Money,1
CUST-00490,45,11,38,30266.96,USSD / Mobile Money,0
CUST-00491,34,12,27,40677.94,Mobile App,0
CUST-00492,52,20,19,34310.68,Branch,2
CUST-00493,35,3,47,23790.8,USSD / Mobile Money,2
CUST-00494,24,6,19,17463.88,Mobile App,0
CUST-00495,53,6,19,14967.94,Mobile App,3
CUST-00496,41,48,57,29981.09,USSD / Mobile Money,1
CUST-00497,22,8,36,34146.18,Mobile App,3
CUST-00498,32,21,5,108884.0,Mobile App,2
